epoch,accuracy,loss,lr,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.09232614189386368,3.721811294555664,0.001,0.3678657114505768,0.0751953125,3.794368267059326,0.2734375
1,0.14580336213111877,3.1839325428009033,0.001,0.49016785621643066,0.0859375,4.6218485832214355,0.3173828125
2,0.17601919174194336,2.85573673248291,0.001,0.5652278065681458,0.1240234375,4.175263404846191,0.38671875
3,0.22062350809574127,2.6052377223968506,0.001,0.6352518200874329,0.1455078125,3.102965831756592,0.5908203125
4,0.2695443630218506,2.4095423221588135,0.001,0.6863309144973755,0.1982421875,2.9177334308624268,0.529296875
5,0.2844124734401703,2.3011581897735596,0.001,0.7035971283912659,0.1728515625,3.619776964187622,0.5400390625
6,0.29544365406036377,2.2540078163146973,0.001,0.7381294965744019,0.220703125,2.8238236904144287,0.6083984375
7,0.3208633065223694,2.14715838432312,0.001,0.7510791420936584,0.2236328125,2.9114272594451904,0.6884765625
8,0.3458033502101898,2.092471122741699,0.001,0.770503580570221,0.3671875,1.9443519115447998,0.822265625
9,0.3673861026763916,2.0056660175323486,0.001,0.798561155796051,0.41796875,1.871060848236084,0.828125
10,0.3932853639125824,1.935420036315918,0.001,0.8143885135650635,0.248046875,2.799118757247925,0.6259765625
11,0.43477219343185425,1.8059983253479004,0.001,0.8302158117294312,0.41015625,1.9039368629455566,0.83984375
12,0.4527578055858612,1.7546573877334595,0.001,0.841966450214386,0.4013671875,2.035088062286377,0.79296875
13,0.472328245639801,1.6910173892974854,0.001,0.8494752049446106,0.34375,2.3308587074279785,0.7578125
14,0.4822542071342468,1.640947937965393,0.001,0.8681055307388306,0.408203125,2.1347591876983643,0.7744140625
15,0.533812940120697,1.4883447885513306,0.00020000001,0.8985611796379089,0.61328125,1.2026870250701904,0.9384765625
16,0.5561150908470154,1.4129348993301392,0.00020000001,0.9057554006576538,0.623046875,1.1167057752609253,0.9501953125
17,0.5729016661643982,1.3523707389831543,0.00020000001,0.9172661900520325,0.625,1.1147202253341675,0.9365234375
18,0.5858513116836548,1.324608564376831,0.00020000001,0.9172661900520325,0.6611328125,1.0247271060943604,0.953125
19,0.59856116771698,1.2634655237197876,0.00020000001,0.9244604110717773,0.6650390625,1.0180269479751587,0.95703125
20,0.6091127395629883,1.2384616136550903,0.00020000001,0.9247002601623535,0.59375,1.2736777067184448,0.9228515625
21,0.6124700307846069,1.2313029766082764,0.00020000001,0.9273381233215332,0.634765625,1.1322323083877563,0.9326171875
22,0.6292566061019897,1.181314468383789,0.00020000001,0.9302158355712891,0.638671875,1.102988839149475,0.943359375
23,0.6261391043663025,1.1699925661087036,0.00020000001,0.935971200466156,0.646484375,1.14329993724823,0.94140625
24,0.6390887498855591,1.1609971523284912,0.00020000001,0.9412469863891602,0.6845703125,0.990523099899292,0.9423828125
25,0.6412469744682312,1.1287758350372314,0.00020000001,0.9354916214942932,0.6640625,1.0415195226669312,0.9521484375
26,0.6517985463142395,1.1117693185806274,0.00020000001,0.9436450600624084,0.603515625,1.3203237056732178,0.9228515625
27,0.6501199007034302,1.1070281267166138,0.00020000001,0.9426858425140381,0.6806640625,0.9904571771621704,0.94921875
28,0.6532374024391174,1.0847588777542114,0.00020000001,0.9426858425140381,0.6796875,0.9769999980926514,0.9580078125
29,0.6589928269386292,1.0809189081192017,0.00020000001,0.9436450600624084,0.6689453125,1.0028663873672485,0.9482421875
30,0.6762589812278748,1.0170655250549316,0.00020000001,0.9513189196586609,0.6904296875,0.9696040749549866,0.955078125
31,0.6839328408241272,1.0180120468139648,0.00020000001,0.9491606950759888,0.6630859375,1.1033433675765991,0.94140625
32,0.6911271214485168,0.9702123999595642,0.00020000001,0.9553956985473633,0.6845703125,1.01941978931427,0.9609375
33,0.6942446231842041,0.975645124912262,0.00020000001,0.952278196811676,0.7431640625,0.7988774180412292,0.9765625
34,0.7062349915504456,0.9510433673858643,0.00020000001,0.9561151266098022,0.6640625,1.0899304151535034,0.9541015625
35,0.699999988079071,0.9487465620040894,0.00020000001,0.9532374143600464,0.7626953125,0.7256138324737549,0.9794921875
36,0.7071942687034607,0.9299218058586121,0.00020000001,0.9553956985473633,0.6513671875,1.2375811338424683,0.9384765625
37,0.7155875563621521,0.8838823437690735,0.00020000001,0.9633093476295471,0.68359375,0.9536235332489014,0.9541015625
38,0.7230215668678284,0.8914609551429749,0.00020000001,0.9633093476295471,0.7412109375,0.8198512196540833,0.96875
39,0.7280575633049011,0.8504922389984131,0.00020000001,0.9664268493652344,0.7373046875,0.8162049651145935,0.9619140625
40,0.729496419429779,0.8445082902908325,0.00020000001,0.9623501300811768,0.6220703125,1.2594488859176636,0.931640625
41,0.7448441386222839,0.8110498785972595,1e-04,0.9678657054901123,0.7177734375,0.924569308757782,0.9599609375
42,0.7594724297523499,0.7662138938903809,1e-04,0.9688249230384827,0.7333984375,0.8565510511398315,0.9658203125
43,0.7496402859687805,0.785674512386322,1e-04,0.9673860669136047,0.7431640625,0.8146579265594482,0.966796875
44,0.7563549280166626,0.770651638507843,1e-04,0.9729017019271851,0.7080078125,0.9577018022537231,0.9599609375
45,0.755875289440155,0.7591809630393982,1e-04,0.9719424247741699,0.71875,0.8810897469520569,0.9658203125
